CellLine,TissueOrigin,rail_id,external_id,study,BigWigURL
KMRC2,KIDNEY,2255571,SRR8615356,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/56/sra.base_sums.SRP186687_SRR8615356.ALL.bw
KELLY,AUTONOMIC_GANGLIA,2255602,SRR8615357,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/57/sra.base_sums.SRP186687_SRR8615357.ALL.bw
KE97,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255635,SRR8615358,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/58/sra.base_sums.SRP186687_SRR8615358.ALL.bw
PATU8988T,PANCREAS,2255667,SRR8615359,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/59/sra.base_sums.SRP186687_SRR8615359.ALL.bw
KASUMI2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255891,SRR8615360,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/60/sra.base_sums.SRP186687_SRR8615360.ALL.bw
KASUMI1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255924,SRR8615361,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/61/sra.base_sums.SRP186687_SRR8615361.ALL.bw
KATOIII,STOMACH,2255956,SRR8615362,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/62/sra.base_sums.SRP186687_SRR8615362.ALL.bw
KASUMI6,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2255990,SRR8615363,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/63/sra.base_sums.SRP186687_SRR8615363.ALL.bw
KD,SOFT_TISSUE,2256024,SRR8615364,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/64/sra.base_sums.SRP186687_SRR8615364.ALL.bw
KCL22,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256053,SRR8615365,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/65/sra.base_sums.SRP186687_SRR8615365.ALL.bw
KE39,STOMACH,2256088,SRR8615366,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/66/sra.base_sums.SRP186687_SRR8615366.ALL.bw
KE37,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256120,SRR8615367,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/67/sra.base_sums.SRP186687_SRR8615367.ALL.bw
SUDHL5,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256150,SRR8615368,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/68/sra.base_sums.SRP186687_SRR8615368.ALL.bw
SUDHL6,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256184,SRR8615369,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/69/sra.base_sums.SRP186687_SRR8615369.ALL.bw
PANC0504,PANCREAS,2256410,SRR8615370,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/70/sra.base_sums.SRP186687_SRR8615370.ALL.bw
PANC0813,PANCREAS,2256442,SRR8615371,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/71/sra.base_sums.SRP186687_SRR8615371.ALL.bw
SR786,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256474,SRR8615372,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/72/sra.base_sums.SRP186687_SRR8615372.ALL.bw
ST486,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256506,SRR8615373,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/73/sra.base_sums.SRP186687_SRR8615373.ALL.bw
STM9101,SOFT_TISSUE,2256537,SRR8615374,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/74/sra.base_sums.SRP186687_SRR8615374.ALL.bw
SU8686,PANCREAS,2256569,SRR8615375,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/75/sra.base_sums.SRP186687_SRR8615375.ALL.bw
SUDHL10,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256601,SRR8615376,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/76/sra.base_sums.SRP186687_SRR8615376.ALL.bw
PANC1005,PANCREAS,2256632,SRR8615377,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/77/sra.base_sums.SRP186687_SRR8615377.ALL.bw
SUDHL4,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256660,SRR8615378,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/78/sra.base_sums.SRP186687_SRR8615378.ALL.bw
GSS,STOMACH,2256696,SRR8615379,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/79/sra.base_sums.SRP186687_SRR8615379.ALL.bw
GRANTA519,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2256918,SRR8615380,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/80/sra.base_sums.SRP186687_SRR8615380.ALL.bw
GP2D,LARGE_INTESTINE,2256953,SRR8615381,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/81/sra.base_sums.SRP186687_SRR8615381.ALL.bw
GOS3,CENTRAL_NERVOUS_SYSTEM,2256985,SRR8615382,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/82/sra.base_sums.SRP186687_SRR8615382.ALL.bw
GMS10,CENTRAL_NERVOUS_SYSTEM,2257016,SRR8615383,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/83/sra.base_sums.SRP186687_SRR8615383.ALL.bw
GI1,CENTRAL_NERVOUS_SYSTEM,2257048,SRR8615384,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/84/sra.base_sums.SRP186687_SRR8615384.ALL.bw
GDM1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2257079,SRR8615385,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/85/sra.base_sums.SRP186687_SRR8615385.ALL.bw
GCT,SOFT_TISSUE,2257114,SRR8615386,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/86/sra.base_sums.SRP186687_SRR8615386.ALL.bw
LI7,LIVER,2257146,SRR8615387,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/87/sra.base_sums.SRP186687_SRR8615387.ALL.bw
H4,CENTRAL_NERVOUS_SYSTEM,2257177,SRR8615388,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/88/sra.base_sums.SRP186687_SRR8615388.ALL.bw
GSU,STOMACH,2257209,SRR8615389,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/89/sra.base_sums.SRP186687_SRR8615389.ALL.bw
TE8,OESOPHAGUS,2257434,SRR8615390,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/90/sra.base_sums.SRP186687_SRR8615390.ALL.bw
KYM1,SOFT_TISSUE,2257465,SRR8615391,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/91/sra.base_sums.SRP186687_SRR8615391.ALL.bw
LS513,LARGE_INTESTINE,2257499,SRR8615392,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/92/sra.base_sums.SRP186687_SRR8615392.ALL.bw
LS411N,LARGE_INTESTINE,2257531,SRR8615393,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/93/sra.base_sums.SRP186687_SRR8615393.ALL.bw
LU99,LUNG,2257563,SRR8615394,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/94/sra.base_sums.SRP186687_SRR8615394.ALL.bw
LU65,LUNG,2257592,SRR8615395,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/95/sra.base_sums.SRP186687_SRR8615395.ALL.bw
LS1034,LARGE_INTESTINE,2257625,SRR8615396,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/96/sra.base_sums.SRP186687_SRR8615396.ALL.bw
LP1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2257655,SRR8615397,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/97/sra.base_sums.SRP186687_SRR8615397.ALL.bw
LS180,LARGE_INTESTINE,2257688,SRR8615398,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/98/sra.base_sums.SRP186687_SRR8615398.ALL.bw
LS123,LARGE_INTESTINE,2257720,SRR8615399,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/99/sra.base_sums.SRP186687_SRR8615399.ALL.bw
LN340,CENTRAL_NERVOUS_SYSTEM,2261019,SRR8615400,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/00/sra.base_sums.SRP186687_SRR8615400.ALL.bw
LXF289,LUNG,2261049,SRR8615401,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/01/sra.base_sums.SRP186687_SRR8615401.ALL.bw
LUDLU1,LUNG,2261079,SRR8615402,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/02/sra.base_sums.SRP186687_SRR8615402.ALL.bw
LN319,CENTRAL_NERVOUS_SYSTEM,2261110,SRR8615403,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/03/sra.base_sums.SRP186687_SRR8615403.ALL.bw
AGS,STOMACH,2261142,SRR8615404,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/04/sra.base_sums.SRP186687_SRR8615404.ALL.bw
ACHN,KIDNEY,2261175,SRR8615405,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/05/sra.base_sums.SRP186687_SRR8615405.ALL.bw
ACCMESO1,PLEURA,2261207,SRR8615406,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/06/sra.base_sums.SRP186687_SRR8615406.ALL.bw
ABC1,LUNG,2261240,SRR8615407,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/07/sra.base_sums.SRP186687_SRR8615407.ALL.bw
AMO1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2261270,SRR8615408,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/08/sra.base_sums.SRP186687_SRR8615408.ALL.bw
AML193,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2261302,SRR8615409,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/09/sra.base_sums.SRP186687_SRR8615409.ALL.bw
AM38,CENTRAL_NERVOUS_SYSTEM,2261528,SRR8615410,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/10/sra.base_sums.SRP186687_SRR8615410.ALL.bw
ALLSIL,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2261560,SRR8615411,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/11/sra.base_sums.SRP186687_SRR8615411.ALL.bw
ASPC1,PANCREAS,2261592,SRR8615412,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/12/sra.base_sums.SRP186687_SRR8615412.ALL.bw
AN3CA,ENDOMETRIUM,2261625,SRR8615413,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/13/sra.base_sums.SRP186687_SRR8615413.ALL.bw
HS294T,SKIN,2261657,SRR8615414,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/14/sra.base_sums.SRP186687_SRR8615414.ALL.bw
HS281T,FIBROBLAST,2261689,SRR8615415,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/15/sra.base_sums.SRP186687_SRR8615415.ALL.bw
HS274T,FIBROBLAST,2261722,SRR8615416,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/16/sra.base_sums.SRP186687_SRR8615416.ALL.bw
HS255T,FIBROBLAST,2261753,SRR8615417,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/17/sra.base_sums.SRP186687_SRR8615417.ALL.bw
HS606T,FIBROBLAST,2261785,SRR8615418,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/18/sra.base_sums.SRP186687_SRR8615418.ALL.bw
HS600T,FIBROBLAST,2261816,SRR8615419,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/19/sra.base_sums.SRP186687_SRR8615419.ALL.bw
HS578T,BREAST,2262041,SRR8615420,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/20/sra.base_sums.SRP186687_SRR8615420.ALL.bw
HS343T,FIBROBLAST,2262071,SRR8615421,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/21/sra.base_sums.SRP186687_SRR8615421.ALL.bw
CORL24,LUNG,2262104,SRR8615422,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/22/sra.base_sums.SRP186687_SRR8615422.ALL.bw
CORL279,LUNG,2262138,SRR8615423,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/23/sra.base_sums.SRP186687_SRR8615423.ALL.bw
HS616T,FIBROBLAST,2262167,SRR8615424,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/24/sra.base_sums.SRP186687_SRR8615424.ALL.bw
CORL23,LUNG,2262200,SRR8615425,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/25/sra.base_sums.SRP186687_SRR8615425.ALL.bw
CORL88,LUNG,2262231,SRR8615426,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/26/sra.base_sums.SRP186687_SRR8615426.ALL.bw
CORL95,LUNG,2262264,SRR8615427,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/27/sra.base_sums.SRP186687_SRR8615427.ALL.bw
CORL311,LUNG,2262297,SRR8615428,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/28/sra.base_sums.SRP186687_SRR8615428.ALL.bw
CORL47,LUNG,2262328,SRR8615429,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/29/sra.base_sums.SRP186687_SRR8615429.ALL.bw
RVH421,SKIN,2262550,SRR8615430,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/30/sra.base_sums.SRP186687_SRR8615430.ALL.bw
RT4,URINARY_TRACT,2262585,SRR8615431,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/31/sra.base_sums.SRP186687_SRR8615431.ALL.bw
RT112,URINARY_TRACT,2262617,SRR8615432,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/32/sra.base_sums.SRP186687_SRR8615432.ALL.bw
RS5,FIBROBLAST,2262650,SRR8615433,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/33/sra.base_sums.SRP186687_SRR8615433.ALL.bw
RS411,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2262680,SRR8615434,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/34/sra.base_sums.SRP186687_SRR8615434.ALL.bw
RPMI8402,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2262711,SRR8615435,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/35/sra.base_sums.SRP186687_SRR8615435.ALL.bw
PANC0327,PANCREAS,2262744,SRR8615436,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/36/sra.base_sums.SRP186687_SRR8615436.ALL.bw
RPMI7951,SKIN,2262777,SRR8615437,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/37/sra.base_sums.SRP186687_SRR8615437.ALL.bw
RMUGS,OVARY,2262809,SRR8615438,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/38/sra.base_sums.SRP186687_SRR8615438.ALL.bw
RMGI,OVARY,2262838,SRR8615439,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/39/sra.base_sums.SRP186687_SRR8615439.ALL.bw
NUDHL1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2263063,SRR8615440,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/40/sra.base_sums.SRP186687_SRR8615440.ALL.bw
NUDUL1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2263093,SRR8615441,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/41/sra.base_sums.SRP186687_SRR8615441.ALL.bw
NMCG1,CENTRAL_NERVOUS_SYSTEM,2263125,SRR8615442,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/42/sra.base_sums.SRP186687_SRR8615442.ALL.bw
NOMO1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2263157,SRR8615443,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/43/sra.base_sums.SRP186687_SRR8615443.ALL.bw
NHAHTDD,CENTRAL_NERVOUS_SYSTEM,2263189,SRR8615444,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/44/sra.base_sums.SRP186687_SRR8615444.ALL.bw
NIHOVCAR3,OVARY,2263222,SRR8615445,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/45/sra.base_sums.SRP186687_SRR8615445.ALL.bw
NCO2,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2263254,SRR8615446,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/46/sra.base_sums.SRP186687_SRR8615446.ALL.bw
NH6,AUTONOMIC_GANGLIA,2263287,SRR8615447,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/47/sra.base_sums.SRP186687_SRR8615447.ALL.bw
SUDHL1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2263316,SRR8615448,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/48/sra.base_sums.SRP186687_SRR8615448.ALL.bw
NUGC2,STOMACH,2263350,SRR8615449,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/49/sra.base_sums.SRP186687_SRR8615449.ALL.bw
NUGC3,STOMACH,2263576,SRR8615450,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/50/sra.base_sums.SRP186687_SRR8615450.ALL.bw
HCC56,LARGE_INTESTINE,2263608,SRR8615451,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/51/sra.base_sums.SRP186687_SRR8615451.ALL.bw
HCC70,BREAST,2263640,SRR8615452,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/52/sra.base_sums.SRP186687_SRR8615452.ALL.bw
HCC461,LUNG,2263673,SRR8615453,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/53/sra.base_sums.SRP186687_SRR8615453.ALL.bw
HCC515,LUNG,2263701,SRR8615454,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/54/sra.base_sums.SRP186687_SRR8615454.ALL.bw
HCC4006,LUNG,2263735,SRR8615455,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/55/sra.base_sums.SRP186687_SRR8615455.ALL.bw
HCC44,LUNG,2263767,SRR8615456,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/56/sra.base_sums.SRP186687_SRR8615456.ALL.bw
HCC366,LUNG,2263800,SRR8615457,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/57/sra.base_sums.SRP186687_SRR8615457.ALL.bw
HCC38,BREAST,2263833,SRR8615458,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/58/sra.base_sums.SRP186687_SRR8615458.ALL.bw
SW620,LARGE_INTESTINE,2263866,SRR8615459,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/59/sra.base_sums.SRP186687_SRR8615459.ALL.bw
HCC78,LUNG,2264090,SRR8615460,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/60/sra.base_sums.SRP186687_SRR8615460.ALL.bw
HCC827GR5,LUNG,2264121,SRR8615461,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/61/sra.base_sums.SRP186687_SRR8615461.ALL.bw
NCIH747,LARGE_INTESTINE,2264156,SRR8615462,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/62/sra.base_sums.SRP186687_SRR8615462.ALL.bw
TE441T,SOFT_TISSUE,2264185,SRR8615463,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/63/sra.base_sums.SRP186687_SRR8615463.ALL.bw
TE1,OESOPHAGUS,2264215,SRR8615464,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/64/sra.base_sums.SRP186687_SRR8615464.ALL.bw
NCIH727,LUNG,2264244,SRR8615465,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/65/sra.base_sums.SRP186687_SRR8615465.ALL.bw
SNUC5,LARGE_INTESTINE,2264277,SRR8615466,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/66/sra.base_sums.SRP186687_SRR8615466.ALL.bw
TE6,OESOPHAGUS,2264309,SRR8615467,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/67/sra.base_sums.SRP186687_SRR8615467.ALL.bw
TE617T,SOFT_TISSUE,2264343,SRR8615468,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/68/sra.base_sums.SRP186687_SRR8615468.ALL.bw
TE5,OESOPHAGUS,2264373,SRR8615469,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/69/sra.base_sums.SRP186687_SRR8615469.ALL.bw
TE4,OESOPHAGUS,2264599,SRR8615470,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/70/sra.base_sums.SRP186687_SRR8615470.ALL.bw
SNU878,LIVER,2264632,SRR8615471,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/71/sra.base_sums.SRP186687_SRR8615471.ALL.bw
SNU886,LIVER,2264665,SRR8615472,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/72/sra.base_sums.SRP186687_SRR8615472.ALL.bw
SNU840,OVARY,2264698,SRR8615473,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/73/sra.base_sums.SRP186687_SRR8615473.ALL.bw
SNUC1,LARGE_INTESTINE,2264761,SRR8615475,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/75/sra.base_sums.SRP186687_SRR8615475.ALL.bw
SNUC2A,LARGE_INTESTINE,2264792,SRR8615476,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/76/sra.base_sums.SRP186687_SRR8615476.ALL.bw
SNU899,UPPER_AERODIGESTIVE_TRACT,2264825,SRR8615477,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/77/sra.base_sums.SRP186687_SRR8615477.ALL.bw
SNU8,OVARY,2264855,SRR8615478,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/78/sra.base_sums.SRP186687_SRR8615478.ALL.bw
L1236,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2264889,SRR8615479,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/79/sra.base_sums.SRP186687_SRR8615479.ALL.bw
L33,PANCREAS,2265114,SRR8615480,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/80/sra.base_sums.SRP186687_SRR8615480.ALL.bw
KYSE520,OESOPHAGUS,2265144,SRR8615481,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/81/sra.base_sums.SRP186687_SRR8615481.ALL.bw
KYSE70,OESOPHAGUS,2265179,SRR8615482,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/82/sra.base_sums.SRP186687_SRR8615482.ALL.bw
JHH1,LIVER,2265210,SRR8615483,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/83/sra.base_sums.SRP186687_SRR8615483.ALL.bw
JHESOAD1,OESOPHAGUS,2265240,SRR8615484,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/84/sra.base_sums.SRP186687_SRR8615484.ALL.bw
L363,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2265271,SRR8615485,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/85/sra.base_sums.SRP186687_SRR8615485.ALL.bw
L428,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2265303,SRR8615486,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/86/sra.base_sums.SRP186687_SRR8615486.ALL.bw
ISTMES2,PLEURA,2265337,SRR8615487,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/87/sra.base_sums.SRP186687_SRR8615487.ALL.bw
ISTMES1,PLEURA,2265368,SRR8615488,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/88/sra.base_sums.SRP186687_SRR8615488.ALL.bw
JEKO1,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,2265399,SRR8615489,SRP186687,https://duffel.rail.bio/recount3/human/data_sources/sra/base_sums/87/SRP186687/89/sra.base_sums.SRP186687_SRR8615489.ALL.bw
